Monthly average surface air temperature anomalies
Data source: ERA5
Reference period: 1991-2020
Col. 1: last month of the time period as YYYYMM
Col. 2,3: weighted averages for the following regions and surfaces (ocean, land)
Global: all surfaces (180W, 180E, 90S, 90N)
European: land only (25W-40E, 34N-72N)

Month,global,European
201710,0.3596,0.4529
201711,0.2483,0.1544
201712,0.3718,1.4133
201801,0.2405,1.6273
201802,0.2617,-1.4822
201803,0.2725,-1.8482
201804,0.3046,1.924
201805,0.2515,2.0741
201806,0.2254,0.3527
201807,0.2785,1.2549
201808,0.2088,0.9262
201809,0.2001,1.2541
201810,0.3549,0.81
201811,0.2386,0.6531
201812,0.331,0.642
201901,0.2841,-0.6129
201902,0.3075,2.1438
201903,0.5074,1.2466
201904,0.4366,0.5198
201905,0.3565,-0.2692
201906,0.369,1.8748
201907,0.397,-0.3594
201908,0.3564,0.3599
201909,0.3794,0.3346
201910,0.4534,0.8829
201911,0.4052,0.9305
201912,0.5394,2.6205
202001,0.581,2.6435
202002,0.5982,3.2885
202003,0.4869,1.5453
202004,0.5197,0.113
202005,0.4657,-0.609
202006,0.3606,0.8812
202007,0.3254,-0.1579
202008,0.2671,0.5882
202009,0.4342,1.4247
202010,0.3762,1.3971
202011,0.5375,1.5668
202012,0.235,1.6726
202101,0.243,0.083
202102,0.0593,-0.1798
202103,0.1888,-0.0461
202104,0.19,-0.8339
202105,0.2571,-0.4381
202106,0.2129,1.5168
202107,0.3309,1.4163
202108,0.3114,-0.0094
202109,0.4021,-0.1709
202110,0.4216,0.1102
202111,0.3463,0.545
202112,0.3222,-0.2068
202201,0.2771,0.7893
202202,0.2288,2.3818
202203,0.3932,-0.3056
202204,0.2827,-0.4165
202205,0.2555,0.2864
202206,0.3083,1.5761
202207,0.3775,0.721
202208,0.296,1.7285
202209,0.3501,-0.3626
202210,0.4092,1.9163
202211,0.1625,1.3562
202212,0.2707,0.8937
202301,0.2463,2.1953
202302,0.2917,1.218
